Round 1 - Saturday the 15th
Ponomariov, Ruslan - Anand, Viswanathan 	0-1
l'Ami, Erwin - Giri, Anish 	½-½
Smeets, Jan - Shirov, Alexei 	1-0
Carlsen, Magnus - Aronian, Levon 	½-½
Nakamura, Hikaru - Grischuk, Alexander 	1-0
Vachier, Maxime - Wang, Hao 	½-½
Nepomniachtchi, Ian - Kramnik, Vladimir 	½-½

Round 2 - Sunday the 16th
Anand, Viswanathan - Kramnik, Vladimir 	½-½
Wang, Hao - Nepomniachtchi, Ian 	0-1
Grischuk, Alexander - Vachier, Maxime 	½-½
Aronian, Levon - Nakamura, Hikaru 	½-½
Shirov, Alexei - Carlsen, Magnus 	½-½
Giri, Anish - Smeets, Jan 	½-½
Ponomariov, Ruslan - l'Ami, Erwin 	½-½

Round 3 - Monday the 17th
l'Ami, Erwin - Anand, Viswanathan 	½-½
Smeets, Jan - Ponomariov, Ruslan 	0-1
Carlsen, Magnus - Giri, Anish 	0-1
Nakamura, Hikaru - Shirov, Alexei 	1-0
Vachier, Maxime - Aronian, Levon 	½-½
Nepomniachtchi, Ian - Grischuk, Alexander 	½-½
Kramnik, Vladimir - Wang, Hao 	½-½

Round 4 - Tuesday the 18th
Anand, Viswanathan - Wang, Hao 	1-0
Grischuk, Alexander - Kramnik, Vladimir 	½-½
Aronian, Levon - Nepomniachtchi, Ian 	1-0
Shirov, Alexei - Vachier, Maxime 	0-1
Giri, Anish - Nakamura, Hikaru 	½-½
Ponomariov, Ruslan - Carlsen, Magnus 	½-½
l'Ami, Erwin - Smeets, Jan 	½-½

Round 5 - Thursday the 20th
Smeets, Jan - Anand, Viswanathan 	0-1
Carlsen, Magnus - l'Ami, Erwin 	1-0
Nakamura, Hikaru - Ponomariov, Ruslan 	½-½
Vachier, Maxime - Giri, Anish 	½-½
Nepomniachtchi, Ian - Shirov, Alexei 	½-½
Kramnik, Vladimir - Aronian, Levon 	½-½
Wang, Hao - Grischuk, Alexander 	1-0

Round 6 - Friday the 21st
Anand, Viswanathan - Grischuk, Alexander 	½-½
Aronian, Levon - Wang, Hao 	½-½
Shirov, Alexei - Kramnik, Vladimir 	0-1
Giri, Anish - Nepomniachtchi, Ian 	0-1
Ponomariov, Ruslan - Vachier, Maxime 	½-½
l'Ami, Erwin - Nakamura, Hikaru 	0-1
Smeets, Jan - Carlsen, Magnus 	0-1

Round 7 - Saturday the 22nd
Carlsen, Magnus - Anand, Viswanathan 	½-½
Nakamura, Hikaru - Smeets, Jan 	1-0
Vachier, Maxime - l'Ami, Erwin 	½-½
Nepomniachtchi, Ian - Ponomariov, Ruslan 	½-½
Kramnik, Vladimir - Giri, Anish 	1-0
Wang, Hao - Shirov, Alexei 	½-½
Grischuk, Alexander - Aronian, Levon 	0-1

Round 8 - Sunday the 23rd
Anand, Viswanathan - Aronian, Levon 	½-½
Shirov, Alexei - Grischuk, Alexander 	1-0
Giri, Anish - Wang, Hao 	1-0
Ponomariov, Ruslan - Kramnik, Vladimir 	½-½
l'Ami, Erwin - Nepomniachtchi, Ian 	½-½
Smeets, Jan - Vachier, Maxime 	0-1
Carlsen, Magnus - Nakamura, Hikaru 	1-0

Round 9 - Tuesday the 25th
Nakamura, Hikaru - Anand, Viswanathan 	½-½
Vachier, Maxime - Carlsen, Magnus 	½-½
Nepomniachtchi, Ian - Smeets, Jan 	0-1
Kramnik, Vladimir - l'Ami, Erwin 	1-0
Wang, Hao - Ponomariov, Ruslan 	1-0
Grischuk, Alexander - Giri, Anish 	½-½
Aronian, Levon - Shirov, Alexei 	1-0

Round 10 - Wednesday the 26th
Anand, Viswanathan - Shirov, Alexei 	1-0
Giri, Anish - Aronian, Levon 	½-½
Ponomariov, Ruslan - Grischuk, Alexander 	1-0
l'Ami, Erwin - Wang, Hao 	0-1
Smeets, Jan - Kramnik, Vladimir 	½-½
Carlsen, Magnus - Nepomniachtchi, Ian 	0-1
Nakamura, Hikaru - Vachier, Maxime 	1-0

Round 11 - Friday the 28th
Vachier, Maxime - Anand, Viswanathan 	½-½
Nepomniachtchi, Ian - Nakamura, Hikaru 	0-1
Kramnik, Vladimir - Carlsen, Magnus 	0-1
Wang, Hao - Smeets, Jan 	½-½
Grischuk, Alexander - l'Ami, Erwin 	½-½
Aronian, Levon - Ponomariov, Ruslan 	½-½
Shirov, Alexei - Giri, Anish 	½-½

Round 12 - Saturday the 29th
Anand, Viswanathan - Giri, Anish 	½-½
Ponomariov, Ruslan - Shirov, Alexei 	½-½
l'Ami, Erwin - Aronian, Levon 	½-½
Smeets, Jan - Grischuk, Alexander 	0-1
Carlsen, Magnus - Wang, Hao 	1-0
Nakamura, Hikaru - Kramnik, Vladimir 	½-½
Vachier, Maxime - Nepomniachtchi, Ian 	1-0

Round 13 - Sunday the 30th
Nepomniachtchi, Ian - Anand, Viswanathan 	½-½
Kramnik, Vladimir - Vachier, Maxime 	½-½
Wang, Hao - Nakamura, Hikaru 	½-½
Grischuk, Alexander - Carlsen, Magnus 	½-½
Aronian, Levon - Smeets, Jan 	½-½
Shirov, Alexei - l'Ami, Erwin 	½-½
Giri, Anish - Ponomariov, Ruslan 	½-½
